ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,CH4_UC,CH4_Qst,CH4_Qff,CH4_Qfm,N2_UC,N2_Qst,N2_Qff,N2_Qfm,CH4_bar,N2_bar,CH4_UC_Z,N2_UC_Z,CH4_Ds,N2_Ds,Sads_CH4_N2,Sdiff_CH4_N2,P_CH4,P_N2,Sperm_N2_CH4
60,MN15910,5657.85986,0.7087,3.68603,12.19459,1619.31995,2284.90991,4128.43018,0.72968,1.0296,0.65778,12.5249481,0.1166393,9.9305982,0.2688,9.8587764,0.0874472,7.2936187,0.4989397,0.4998287,0.625,0.25,2.778e-09,4.574e-09,2.4470982142857145,0.6073458679492786,32193.58821683875,21622.64287916596,0.671644388737516
61,MN33217,5273.9502,1.06667,3.55818,7.76753,0.0,0.0,2991.07007,0.56714,0.53169,1.49667,18.743687,0.22568,16.0402964,0.43948,16.6410769,0.1666743,13.9966921,0.4989397,0.4998287,1.375,0.375,1.748e-09,2.711e-09,3.405547465186129,0.6447805237919587,49447.023488137005,22478.544013099945,0.4545985264106513
62,MN33239,9736.20996,0.72742,6.2096,8.19843,1954.13,2686.38989,6593.8501,0.67725,0.93103,1.92409,16.1025158,0.1693035,13.4555018,0.57432,11.8349935,0.1297561,9.2275268,0.4989397,0.4998287,1.875,0.5,1.366e-08,1.445e-08,3.350205460370525,0.9453287197231833,269088.41828590125,84814.00734883305,0.3151901069882532
63,MN33242,5265.37988,1.10642,2.81865,6.01698,0.0,0.0,2748.79004,0.52205,0.47183,1.97944,21.0219022,0.228154,18.3160377,0.42549,16.9970902,0.1751647,14.344215,0.4989397,0.4998287,1.875,0.375,1.141e-09,8.872e-10,4.652142236010247,1.2860685302073942,42757.026845949214,7133.739966125937,0.16684368611101838
64,MN33447,3104.52002,0.82308,5.49725,7.57447,1745.54004,2120.72998,2069.04004,0.66646,0.80971,0.48759,15.1410144,0.1675588,12.4957451,0.15653,11.840746,0.1166558,9.2463797,0.4989397,0.4998287,0.4375,0.125,1.246e-08,1.208e-08,3.1149939308758707,1.031456953642384,195068.4379742314,60604.59669611766,0.310683764762209
65,MN34333,7786.37012,1.87297,3.23989,7.98439,0.0,0.0,3715.96997,0.47724,0.2548,5.3739,22.3154938,0.2067481,19.6310352,0.87807,17.4599004,0.2014723,14.7807176,0.4989397,0.4998287,5.25,0.875,4.81e-10,5.758e-10,6.12012709692849,0.8353594998263285,33090.877107161774,6461.023098482036,0.1952508867491969
66,MN36,855.56201,1.40131,5.32136,5.84694,927.93201,662.19,461.69601,0.53964,0.3851,0.30348,19.1588,0.2675802,16.4135092,0.08865,16.0196866,0.1920616,13.3499145,0.4989397,0.4998287,0.29688,0.07812,3.439e-08,1.993e-08,3.4233502538071066,1.7255393878575012,1215959.8743217096,205480.16380205788,0.16898597407803398
67,MN378,8051.35986,0.55688,6.99303,10.68058,2084.40991,3743.01001,5991.74023,0.74419,1.33635,0.96979,13.2517048,0.1224743,10.65152,0.3629,9.8307278,0.0894472,7.26357,0.4989397,0.4998287,0.875,0.25,2.938e-08,3.941e-08,2.6723339763020117,0.745496066988074,352751.87178596144,176750.27939270745,0.5010612091094838
68,MN3935,4070.48999,0.89572,5.9163,7.97951,1441.39001,1609.18994,2620.34009,0.64374,0.71868,1.72524,18.6297788,0.1961205,15.9559477,0.3937,13.7780273,0.1750599,11.1252569,0.4989397,0.4998287,1.66667,0.33333,6.886e-09,1.5e-08,4.382118364236729,0.4590666666666667,290923.19721705915,144359.49711281882,0.4962117098043286
69,MN3936,4070.93994,0.89398,5.37857,8.61911,1653.09998,1849.15002,2634.84009,0.64723,0.72399,1.43275,18.2379626,0.2664884,15.4937637,0.37444,13.9287337,0.2027621,11.248261,0.4989397,0.4998287,1.41667,0.33333,1.407e-08,9.664e-09,3.8263807285546414,1.4559188741721854,493603.09184085997,88446.24237068744,0.17918494400193696
70,MN4130,4070.17993,0.98387,5.5864,8.0044,1359.32996,1381.62,2552.08008,0.62702,0.6373,1.62158,18.7677286,0.208237,16.081781,0.40666,14.2857061,0.1774035,11.6305921,0.4989397,0.4998287,1.58333,0.33333,9.369e-09,4.231e-09,3.987557173068411,2.2143701252658943,372072.6047200143,42062.72745504316,0.11304978362138615
71,MN4131,4070.58008,0.98212,5.74811,7.61257,1330.71997,1354.94995,2576.56006,0.63297,0.64449,1.69285,19.1080246,0.2946404,16.3356737,0.44263,14.8755694,0.2286193,12.1692396,0.4989397,0.4998287,1.66667,0.41667,3.43e-09,1.295e-08,3.824526127917222,0.2648648648648649,142188.48756610035,140116.51369616817,0.9854279772898705
72,MN42329,3770.52002,1.02316,5.07649,7.24506,1877.58997,1835.08997,2569.1499,0.68138,0.66596,0.51847,14.4591177,0.1218071,11.8596,0.18187,11.3076735,0.0905676,8.7393954,0.4989397,0.4998287,0.5,0.16667,1.373e-08,1.349e-08,2.8507725298289985,1.0177909562638991,188192.8360817016,64745.38331029997,0.3440374493436698
