ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_m3m-3,Va_cm3g-1,C2H6_Hen,C2H6_Qst,C2H4_Hen,C2H4_Qst,C2H6_Ds,C2H4_Ds,C2H6_P0,C2H4_P0,C2H6_P0_barrer,C2H4_P0_barrer,Sads_C2H6_C2H4,Sads_C2H4_C2H6,Sdiff_C2H4_C2H6,Sperm_C2H6_C2H4,Sperm_C2H4_C2H6
544,MN33506,22638.0,0.59808,7.34729,11.67278,2248.37012,3759.27002,0.79579,1.33056,1.159e-05,12.541814,8.98e-06,13.154133,1.392e-08,1.787e-08,9.648992102399999e-11,9.597545260799999e-11,288891.97911377245,287351.6545149701,1.2906458797327394,0.7748058671268334,1.283764367816092,1.0053604166692631,0.9946681641922784
123,M8497,8437.2002,0.64523,7.15007,9.16734,2157.6499,3344.01001,0.74012,1.14707,3.066e-05,16.005122,2.606e-05,18.001444,9.935e-09,1.162e-08,1.96541639133e-10,1.9538674195600002e-10,588448.0213562875,584990.2453772456,1.1765157329240215,0.8499673842139596,1.1696024157020635,1.0059108267297896,0.994123905844611
2246,MM26265,5680.73,0.84778,4.24882,8.02047,1565.05,1846.06,0.67342,0.79433,3.84e-05,15.885,3.302e-05,18.36293,4.85e-09,5.607e-09,1.5789054719999996e-10,1.569606512292e-10,472726.1892215568,469942.06954850303,1.162931556632344,0.8598958333333333,1.1560824742268043,1.005924389096998,0.9941105025773198
317,MN11597,9358.66992,0.87564,6.20739,7.68505,2008.87,2294.15991,0.69947,0.79881,2.536e-05,15.13734,1.719e-05,15.457612,5.193e-09,7.609e-09,1.1531695446719999e-10,1.145325824244e-10,345260.3427161677,342911.9234263474,1.4752763234438628,0.6778391167192429,1.4652416714808398,1.0068484620375842,0.9931981203767996
637,MN42621,9868.54004,0.63901,7.518,10.15959,1979.67004,3098.05005,0.73273,1.14667,2.359e-05,15.293647,1.716e-05,16.146797,9.778e-09,1.335e-08,1.4739597641019998e-10,1.4638824486e-10,441305.31859341316,438288.15826347313,1.3747086247086249,0.7274268757948282,1.3653098793209246,1.0068839649738524,0.9931631000062344
61,M8393,11852.5996,0.76096,6.71893,9.06292,2005.68005,2635.71997,0.69474,0.91298,3.754e-05,17.102624,3.041e-05,18.574472,7.684e-09,9.406e-09,2.1950451266559996e-10,2.1766230460159994e-10,657199.1397173653,651683.5467113772,1.2344623479118713,0.8100692594565796,1.224102030192608,1.0084636063528405,0.9916074250974216
105,M8477,12496.2002,0.59213,6.81873,9.07513,2196.25,3709.07007,0.73988,1.24952,2.576e-05,16.753557,2.099e-05,16.995332,7.478e-09,9.094e-09,1.1406394408639998e-10,1.1302758631780001e-10,341508.8146299401,338405.9470592815,1.2272510719390186,0.8148291925465838,1.2161005616474996,1.009169069272045,0.9909142387026794
2097,MM21764,5446.91,0.73158,6.89572,9.69682,2088.61,2854.95,0.7109,0.97174,4.31e-05,18.2973,3.685e-05,18.600321,8.32e-09,9.621e-09,2.6233873535999996e-10,2.5936987398300007e-10,785445.3154491017,776556.508931138,1.1696065128900948,0.8549883990719258,1.1563701923076926,1.011446438753309,0.9886830994556491
73,M8414,8647.95996,0.68648,6.05258,9.21575,2116.97998,3083.83008,0.70586,1.02824,3.001e-05,17.105496,2.433e-05,18.385016,6.726e-09,8.202e-09,1.385641070448e-10,1.369902829968e-10,414862.59594251506,410150.54789461085,1.2334566378956022,0.8107297567477507,1.2194469223907225,1.0114885816247037,0.9886419067566238
381,MN1300,2544.37988,1.04358,4.57345,8.09079,1982.43005,1899.65002,0.65191,0.62469,4.633e-05,12.807972,3.795e-05,17.729855,1.483e-08,1.788e-08,7.170165805619999e-10,7.0811703468e-10,2146756.2292275447,2120110.882275449,1.2208168642951251,0.8191236779624433,1.205664194200944,1.0125679025445584,0.9875880891415029
1484,MN64550,11555.4003,0.9147,5.88996,8.47734,2054.53003,2246.11011,0.69273,0.75733,3.695e-05,12.826012,3.394e-05,18.767748,8.368e-09,8.997e-09,2.8282304471999996e-10,2.7931112724599997e-10,846775.5829940119,836260.8600179642,1.0886859163229228,0.9185385656292286,1.0751673040152965,1.012573496475516,0.9875826332416553
2155,MM23537,6678.95,0.62084,7.82885,10.02814,2106.7,3393.33,0.74146,1.19429,4.4e-05,16.1869,3.486e-05,19.418903,8.76e-09,1.088e-08,2.392965696e-10,2.35470208512e-10,716456.7952095809,705000.6242874253,1.2621916236374067,0.7922727272727274,1.2420091324200913,1.0162498734433532,0.9840099626400998
335,MN11660,10445.2002,0.87878,6.37003,7.62719,1948.54004,2217.33008,0.68488,0.77936,3.246e-05,10.572998,3.08e-05,17.640458,5.658e-09,5.866e-09,1.6139557481039998e-10,1.5877164318400003e-10,483220.2838634731,475364.20114970073,1.0538961038961037,0.9488601355514481,1.0367621067515023,1.0165264500245745,0.9837422331468354
1366,MN61665,17041.5,0.50809,7.58113,11.47833,2297.11011,4521.04004,0.80034,1.57518,2.541e-05,13.148522,1.981e-05,14.875431,1.293e-08,1.624e-08,1.66933630017e-10,1.63459869496e-10,499801.287476048,489400.8068742516,1.2826855123674912,0.7796143250688705,1.2559938128383603,1.0212514578147573,0.9791907686866557
1282,MN59510,16342.2002,0.5583,7.86701,12.16557,2178.65991,3902.31006,0.7835,1.40336,1.948e-05,14.60396,1.482e-05,15.560073,1.028e-08,1.323e-08,1.1180203152000002e-10,1.0946509938000002e-10,334736.6213173654,327739.81850299414,1.3144399460188934,0.7607802874743327,1.2869649805447472,1.021348650421332,0.9790975878682316
2422,MM8681,9051.27,0.78661,6.23877,9.59783,2168.75,2757.08,0.71494,0.90889,3.9e-05,14.5311,2.933e-05,18.334973,1.06e-08,1.379e-08,3.25184574e-10,3.18152831227e-10,973606.5089820361,952553.3869071858,1.3296965564268668,0.752051282051282,1.300943396226415,1.0221017765137628,0.9783761490082244
2264,MM26284,7908.66,0.74016,4.33352,10.6128,1603.83,2166.86,0.69201,0.93494,3.41e-05,15.8012,2.935e-05,18.938143,3.98e-09,4.518e-09,1.0045303488000002e-10,9.8147658528e-11,300757.58946107794,293855.2650538923,1.1618398637137992,0.8607038123167154,1.135175879396985,1.0234888573662948,0.9770502070469649
539,MN33470,22629.8007,0.5631,7.56357,11.76088,2238.90991,3976.02002,0.80199,1.42423,1.13e-05,12.812412,8.084e-06,12.252941,1.691e-08,2.305e-08,1.0759883730000002e-10,1.0492591422e-10,322152.20748503006,314149.44377245515,1.397822859970312,0.7153982300884955,1.3630987581312832,1.0254743844727972,0.9751584390029462
802,MN4582,19910.0,0.68927,7.14706,9.96435,2316.62012,3360.98999,0.75879,1.10086,1.796e-05,14.6674,1.288e-05,14.702022,1.347e-08,1.828e-08,1.6674902552400001e-10,1.6228614012800003e-10,499248.5794131738,485886.64708982053,1.394409937888199,0.7171492204899778,1.3570898292501856,1.0275001019340282,0.9732359131816477
