ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,C2H6_UC,C2H6_Qst,C2H6_Qff,C2H6_Qfm,C2H4_UC,C2H4_Qst,C2H4_Qff,C2H4_Qfm,C2H6_bar,C2H4_bar,C2H6_UC_Z,C2H4_UC_Z,C2H6_Ds,C2H4_Ds,Sads_C2H6_C2H4,Sdiff_C2H6_C2H4,P_C2H6,P_C2H4,Sperm_C2H6_C2H4
35,MN11000,10653.0996,0.77176,6.3043,7.56609,2292.80005,2970.87012,7760.16016,0.72844,0.94387,4.37638,19.3385677,1.6084938,15.2523634,5.32245,17.579952,1.4943049,13.6079365,0.4958603,0.4967872,4.33333,5.16667,9.884e-09,1.204e-08,0.8222491521761596,0.8209302325581395,496092.10519347945,602209.8056082983,0.8237861631833971
36,MN11173,13456.7998,0.6841,7.87111,9.10962,1971.95996,2882.57007,10020.5996,0.74465,1.08852,5.6112,20.7058158,2.3303456,15.8977597,6.85673,18.7790472,2.111531,14.1898057,0.4958603,0.4967872,5.5,6.83333,1.216e-08,1.168e-08,0.8183492714457183,1.0410958904109588,488488.9894867796,595806.2030577136,0.8198789924976015
37,MN11247,8107.33984,0.92877,5.97435,7.45552,1964.08997,2114.72998,5630.70996,0.69452,0.74778,4.15276,20.9100968,1.8889633,16.5434229,4.83311,18.9747675,1.7537125,14.7433445,0.4958603,0.4967872,4.0,4.66667,4.979e-09,6.778e-09,0.8592314265555719,0.7345824727058129,348223.1979891406,404516.73006814416,0.8608375676587703
38,MN11637,15218.2002,0.69583,7.03848,8.01642,2019.71997,2902.58008,11054.0996,0.72637,1.04388,7.11004,20.8012683,2.2639528,16.0596049,8.65005,19.3183155,2.2001866,14.6404183,0.4958603,0.4967872,7.0,8.5,9.907e-09,1.091e-08,0.8219651909526534,0.9080659945004583,511244.94079881976,620818.340392684,0.8235016711578524
39,MN14897,4116.33984,0.7715,4.88826,8.56137,2137.1499,2770.13989,2856.69995,0.69399,0.89954,3.95044,23.7976349,3.9821695,17.3377549,4.5836,21.8286251,3.5740197,15.7768948,0.4958603,0.4967872,3.88889,4.55556,1.034e-08,1.069e-08,0.8618640370014836,0.9672591206735267,1028985.9947483833,1191679.986746329,0.86347509918149
40,MN14919,4117.52002,0.76802,5.24853,8.73795,2121.36011,2762.1001,2881.07007,0.69971,0.91105,3.96784,23.357598,4.0916859,16.7882015,4.60207,21.3678802,3.6181825,15.2719872,0.4958603,0.4967872,3.88889,4.55556,1.421e-08,1.54e-08,0.8621859293752593,0.9227272727272727,1488458.8585840205,1723156.987465794,0.8637975932611117
41,MN15854,3878.31006,0.82208,7.00005,10.09925,1927.93005,2345.16992,2801.11011,0.72225,0.87856,4.90574,24.5882363,5.1022715,17.0082543,5.28383,22.0964444,4.5100994,15.1086344,0.4958603,0.4967872,4.88889,5.27778,1.249e-08,1.336e-08,0.9284439506948557,0.934880239520958,1694985.775824647,1822213.7039725787,0.9301794691420857
42,MN15856,3868.5,0.81906,6.74939,9.37993,2023.31006,2470.28003,2758.05005,0.71295,0.87045,5.05264,25.40429,5.1527459,17.7738335,5.5119,23.1414947,4.7891114,15.8746728,0.4958603,0.4967872,5.0,5.5,9.464e-09,9.679e-09,0.9166784593334423,0.977786961462961,1267953.944914979,1380623.9229728791,0.9183919848243036
43,MN15862,3878.12988,0.85293,6.9135,9.9814,1951.53003,2288.03003,2760.48999,0.71181,0.83454,4.64524,24.3880596,4.7972411,17.113108,5.05769,22.2949398,4.3358006,15.4814286,0.4958603,0.4967872,4.61111,5.05556,1.034e-08,1.106e-08,0.9184509133616335,0.9349005424954793,1328736.5929296608,1444015.604715811,0.9201677520591354
44,MN15884,5308.6499,0.64071,7.45013,10.25771,2007.37,3133.03003,4057.87988,0.76439,1.19303,3.32205,20.569543,2.5041342,15.5876983,4.00366,18.8555361,2.2747944,14.1030311,0.4958603,0.4967872,3.22222,4.0,2.134e-08,2.208e-08,0.8297532757526863,0.9664855072463768,1385858.0430379068,1667088.7178487699,0.8313043140416868
45,MN15885,5317.25977,0.65468,7.45758,9.55895,2077.98999,3174.07007,4033.72998,0.75861,1.15875,4.2075,21.6653161,3.0578441,16.1297615,4.88268,19.6286404,2.8407753,14.3101546,0.4958603,0.4967872,4.11111,4.77778,1.878e-08,1.952e-08,0.8617193836171938,0.9620901639344263,1549221.0218107945,1794471.0679120556,0.8633301754000302
46,MN15910,5657.85986,0.7087,3.68603,12.19459,1619.31995,2284.90991,4128.43018,0.72968,1.0296,3.24903,20.6597755,2.3868559,15.795209,3.98184,18.9661393,2.1604346,14.3279942,0.4958603,0.4967872,3.125,3.875,3.553e-09,3.42e-09,0.8159619673316858,1.0388888888888888,196981.3135229354,240959.50039783085,0.8174872258521194
47,MN20524,22863.4003,0.47611,7.29942,10.35805,2599.71997,5460.31006,18185.5996,0.7954,1.67062,6.39835,16.7137169,1.2914868,12.9445195,8.27555,15.1515582,1.1510821,11.5227656,0.4958603,0.4967872,6.0,8.0,2.7e-08,2.985e-08,0.7731631130257203,0.9045226130653267,837853.317148468,1081647.644220861,0.7746083686540969
48,MN33450,6409.77979,0.48273,6.77102,10.01099,2380.8999,4932.14014,4989.37012,0.7784,1.61249,1.54859,16.7021343,1.1954565,13.0289672,2.09559,15.2110117,1.0725908,11.6607104,0.4958603,0.4967872,1.5,2.08333,3.012e-08,3.468e-08,0.7389756584064631,0.8685121107266437,840369.6275044228,1135087.0163487985,0.7403570082297438
49,MN42330,5598.27979,0.69155,6.59509,8.85649,2464.30005,3563.43994,4297.29004,0.76761,1.10999,1.06924,15.8586237,0.943045,12.4378682,1.46388,14.5753013,0.839137,11.2584537,0.4958603,0.4967872,1.0,1.44444,2.348e-08,2.516e-08,0.7304150613438259,0.9332273449920507,481980.52916271903,658640.9299918052,0.7317804090442964
50,MN42333,5303.8999,0.76249,6.06724,8.22821,2676.54004,3510.26001,3991.18994,0.7525,0.9869,1.95912,18.6271008,1.690409,14.4589813,2.50963,17.0675852,1.5020119,13.0878628,0.4958603,0.4967872,1.88889,2.44444,1.662e-08,1.919e-08,0.7806409709797858,0.8660760812923398,710947.9790979297,909024.1566767155,0.782100204792215
51,MN42357,5240.04004,0.95171,5.65144,8.55987,2155.34009,2264.70996,3715.44995,0.70905,0.74503,2.49465,20.4998029,2.0530809,15.9690115,3.09395,18.7436078,1.8535976,14.4122997,0.4958603,0.4967872,2.44444,3.0,1.043e-08,1.13e-08,0.8062993907464568,0.923008849557522,539574.2492896238,667949.8011193331,0.8078065872396685
52,MN42359,4707.56982,0.81955,6.0849,8.07424,2282.3501,2784.87012,3454.51001,0.73382,0.89539,1.72317,18.8189901,1.6057893,14.7354903,2.20654,17.3481399,1.4940103,13.3764191,0.4958603,0.4967872,1.72222,2.16667,1.599e-08,1.662e-08,0.7809375764771996,0.9620938628158845,610182.7646002981,779888.5733887472,0.7823973647273114
53,MN42362,5438.74023,0.77051,5.875,9.83256,2279.67993,2958.65991,4026.18994,0.74028,0.96077,2.69082,20.333712,2.2711446,15.5848569,3.31745,18.5022751,1.9656888,14.0588757,0.4958603,0.4967872,2.66667,3.22222,1.041e-08,1.113e-08,0.8111109436464754,0.9353099730458222,552305.377034056,679654.1165652482,0.8126271342623929
54,MN42400,2263.26001,1.33442,6.92635,7.52612,1422.52002,1066.02002,1474.96997,0.6517,0.48838,0.78335,21.3456619,1.6102699,17.2576814,1.06556,20.0663732,1.4057425,16.1829201,0.4958603,0.4967872,0.77778,1.03704,5.171e-09,5.247e-09,0.7351533465970944,0.985515532685344,182149.99253705904,247309.13619633092,0.736527551462781
55,MN42642,8415.66016,0.65281,7.11568,11.88726,2146.16992,3287.61011,6521.7998,0.77496,1.18712,3.60361,18.8064955,1.8628344,14.4659506,4.49281,17.24938,1.6889775,13.082692,0.4958603,0.4967872,3.5,4.375,1.493e-08,1.77e-08,0.802083773851999,0.843502824858757,760187.2416641755,945997.061091539,0.8035830901916685
56,MN42681,6336.97021,0.55771,6.10911,10.69431,2281.53003,4090.87988,4989.02979,0.78729,1.41164,2.12461,17.1628333,1.5382343,13.1468885,2.73867,15.6304379,1.3894401,11.7632873,0.4958603,0.4967872,2.0,2.625,2.531e-08,2.788e-08,0.7757816750466467,0.9078192252510761,937536.8177428044,1206251.1942945765,0.7772318254914409
57,MN42682,6336.72998,0.54418,7.22463,10.3081,2314.58008,4253.33984,5011.02002,0.79079,1.45318,2.12922,17.1665658,1.5218167,13.1670386,2.72933,15.5940001,1.3888401,11.7274494,0.4958603,0.4967872,2.125,2.625,2.703e-08,2.824e-08,0.7801255253120729,0.9571529745042493,951739.2132059772,1217705.9178386156,0.7815837956140348
58,MN42683,6335.25,0.56313,6.92773,9.79663,2310.32007,4102.64014,4930.16016,0.77821,1.38194,2.17975,17.455737,1.5475336,13.4304928,2.7945,15.9161274,1.4000418,12.0383751,0.4958603,0.4967872,2.125,2.75,2.459e-08,2.855e-08,0.7800143138307388,0.8612959719789842,985249.6320000343,1260760.6640311396,0.7814723762476933
59,MN42684,6338.93018,0.54809,6.7029,10.92133,2210.77002,4033.6001,5038.68994,0.79488,1.45027,1.85062,16.4979338,1.3699432,12.6502801,2.42944,15.0875801,1.2163849,11.3934846,0.4958603,0.4967872,1.75,2.375,2.906e-08,3.109e-08,0.7617475632244467,0.9347056931489224,910373.5093239184,1192881.9841163065,0.7631714800339852
60,MN42685,6398.31006,0.50565,7.0317,10.7687,2227.44995,4405.08984,5142.70996,0.80376,1.58955,1.58134,15.8668871,1.1666599,12.2225167,2.10006,14.4717286,1.0535553,10.9404628,0.4958603,0.4967872,1.5,2.0,3.452e-08,3.436e-08,0.7529975334038075,1.0046565774155995,851746.7253189157,1129030.9836270616,0.754405093988335
