ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,C2H6_UC,C2H6_Qst,C2H6_Qff,C2H6_Qfm,C2H4_UC,C2H4_Qst,C2H4_Qff,C2H4_Qfm,C2H6_bar,C2H4_bar,C2H6_UC_Z,C2H4_UC_Z,C2H6_Ds,C2H4_Ds,Sads_C2H6_C2H4,Sdiff_C2H6_C2H4,P_C2H6,P_C2H4,Sperm_C2H4_C2H6
53,MN11113,9423.49023,1.10535,5.72098,7.41795,1313.02002,1187.88,5714.12012,0.60637,0.54858,7.79936,26.3264892,3.1007892,20.7479894,8.1752,23.5276629,2.8853375,18.1646148,0.4958603,0.4967872,7.66667,8.16667,2.338e-09,2.465e-09,0.9540268127996868,0.9484787018255578,194083.90316597413,214086.99931477828,1.1030641687564278
54,MN11139,13082.5996,0.77985,6.94121,8.41332,1701.48999,2181.81006,9214.86035,0.70436,0.9032,5.05612,20.3940302,1.5898023,16.3265173,6.14579,18.4954817,1.4294729,14.5882982,0.4958603,0.4967872,5.0,6.0,7.487e-09,8.161e-09,0.8226965125720208,0.9174120818527142,290221.0011144317,383807.6843204502,1.3224669574105632
55,MN11165,13088.5996,0.77949,7.76823,8.60534,1827.76001,2344.81006,9261.25977,0.70758,0.90775,6.27035,21.8721293,1.9850258,17.4093929,6.98015,19.2398977,1.687937,15.0742501,0.4958603,0.4967872,6.16667,6.83333,4.571e-09,7.723e-09,0.8983116408673165,0.5918684449048297,219637.34761951983,412328.08572690526,1.877313171898186
56,MN11188,7098.3501,1.08327,3.92623,5.02632,1117.81995,1031.89001,4542.24023,0.6399,0.59071,5.46192,27.8759289,2.4132224,22.984996,7.03835,25.1001906,2.1069142,20.5155658,0.4958603,0.4967872,5.44444,7.0,9.712e-10,1.011e-09,0.7760227894321823,0.9606330365974283,74953.8115276342,100357.69321020601,1.3389271494646517
57,MN11285,4455.74023,1.43324,3.4139,4.56973,0.0,0.0,2647.11011,0.59409,0.41451,4.2122,28.955944,2.3154942,24.1627393,4.72814,26.6420693,2.2194246,21.9449342,0.4958603,0.4967872,4.16667,4.72222,1.419e-10,1.827e-10,0.8908788656850263,0.7766830870279146,13454.554364287724,19408.66905569485,1.44253525833684
58,MN11312,13576.5,0.80441,7.11081,8.50929,1765.77002,2195.11011,9386.09961,0.69135,0.85945,7.51445,22.9834291,2.3976458,18.1080728,8.69659,19.7805341,1.933642,15.3691816,0.4958603,0.4967872,7.5,8.66667,5.131e-09,5.853e-09,0.8640685602057818,0.8766444558346146,284845.7376362532,375341.8348294576,1.317702128682605
59,MN11344,13971.5,0.85109,6.37121,8.55357,1663.68994,1954.78003,9378.37988,0.67125,0.78869,6.59237,21.0797996,1.8807624,16.7213267,7.89597,19.0527563,1.7847661,14.7902797,0.4958603,0.4967872,6.5,7.83333,7.331e-09,9.615e-09,0.8349031214657603,0.7624544981799272,346943.67579033226,543998.7491292662,1.5679742479526269
60,MN11370,13971.5,0.85109,6.37121,8.55357,1663.68994,1954.78003,9378.37988,0.67125,0.78869,6.59237,21.0797996,1.8807624,16.7213267,7.89597,19.0527563,1.7847661,14.7902797,0.4958603,0.4967872,6.5,7.83333,8.644e-09,7.628e-09,0.8349031214657603,1.1331934976402724,409082.1352518936,431577.998789188,1.0549910680490666
61,MN11387,7636.20996,1.09756,3.46953,5.78937,0.0,0.0,4717.95996,0.61784,0.56292,10.17321,31.1108246,3.2419268,25.3911873,9.46981,28.0426759,2.8416339,22.7233314,0.4958603,0.4967872,10.11111,9.44444,2.066e-10,2.997e-10,1.0742781534159607,0.6893560226893559,27606.27442108691,37208.00834562989,1.3478098412732122
62,MN11450,11885.4003,1.00697,6.54207,7.53299,1863.19995,1850.30005,7871.24023,0.66226,0.65767,7.90906,23.1923457,2.5043322,18.210303,8.99873,20.9020535,2.2830914,16.1412516,0.4958603,0.4967872,7.83333,8.83333,5.287e-09,5.51e-09,0.8789084681949564,0.9595281306715062,352872.0343837449,417642.6302104289,1.18355264661253
